Time,adservice,shippingservice,currencyservice,productcatalogservice,checkoutservice,cartservice,emailservice,frontend,recommendationservice,redis-cart,paymentservice,Total
2020-11-04 23:31:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:32:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:33:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:34:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:35:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:36:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:37:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:38:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:39:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:40:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:41:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:42:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:43:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:44:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:45:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:46:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:47:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:48:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:49:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:50:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:51:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:52:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:53:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:54:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:55:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:56:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:57:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:58:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-04 23:59:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:00:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:01:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:02:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:03:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:04:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:05:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:06:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:07:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:08:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:09:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:10:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:11:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:12:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:13:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:14:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:15:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:16:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:17:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:18:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:19:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:20:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:21:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:22:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:23:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:24:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:25:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:26:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:27:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:28:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:29:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:30:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:31:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:32:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:33:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:34:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:35:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:36:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:37:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:38:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:39:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:40:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:41:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:42:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:43:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:44:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:45:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:46:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:47:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:48:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:49:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:50:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:51:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:52:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:53:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:54:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:55:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:56:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:57:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:58:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 00:59:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:00:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:01:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:02:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:03:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:04:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:05:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:06:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:07:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:08:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:09:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:10:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:11:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:12:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:13:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:14:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:15:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:16:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:17:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:18:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:19:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:20:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:21:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:22:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:23:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:24:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:25:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:26:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:27:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:28:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:29:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:30:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:31:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:32:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:33:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:34:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:35:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:36:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:37:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:38:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:39:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:40:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:41:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:42:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:43:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:44:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:45:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:46:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:47:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:48:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:49:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:50:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:51:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:52:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:53:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:54:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:55:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:56:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:57:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:58:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 01:59:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 02:00:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 02:01:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 02:02:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 02:03:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
2020-11-05 02:04:00,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,18.0
